"id","name","slug"
1,"Not Specified","not-specified"
2,"Headquarters","headquarters"
3,"Media Relations","media-relations"
4,"Gold Team","gold-team"
5,"Black Team","black-team"
6,"RW Team","rw-team"
7,"Rigger Loft","rigger-loft"
8,"Style & Accuracy Team","style-accuracy-team"
9,"Team 6","team-six"
10,"Tandem Team","tandem-team"
11,"Vertical Team","vertical-team"
